,chat_num,chat_len,joined,male_mons,female_mons,non-binary_mons,average_chat_len
6utter,43.0,529.0,0.0,30.0,24.0,0.0,12.30232558139535
bman5422,55.0,436.0,0.0,35.0,12.0,7.0,7.927272727272728
crystopperpkmn,109.0,1743.0,0.0,17.0,9.0,22.0,15.990825688073395
gscalfaro7,2.0,13.0,0.0,11.0,19.0,24.0,6.5
jmils9,78.0,1013.0,0.0,19.0,28.0,1.0,12.987179487179487
joji27,43.0,305.0,0.0,26.0,14.0,8.0,7.093023255813954
kaisercauto,47.0,236.0,0.0,22.0,13.0,19.0,5.0212765957446805
mattchumaniac44,92.0,836.0,0.0,16.0,15.0,23.0,9.08695652173913
moof710,23.0,262.0,0.0,26.0,28.0,0.0,11.391304347826088
notabot1234,233.0,3247.0,0.0,27.0,18.0,3.0,13.935622317596566
ryanmali,39.0,480.0,0.0,13.0,18.0,23.0,12.307692307692308
sonofringo,180.0,2173.0,0.0,18.0,32.0,4.0,12.072222222222223
thewillager,80.0,797.0,0.0,1.0,36.0,17.0,9.9625
tomatotommaso,135.0,1413.0,0.0,20.0,8.0,26.0,10.466666666666667
